epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10824.9,3.0728,1.38692,2.33664,0.88533,0.82251,0.89385,0.51895,2.82747,1.14473,2.52503,0.005842,0.005842,0.005842
44,11065.3,3.06499,1.37759,2.32956,0.88858,0.81663,0.88946,0.51376,2.83151,1.14316,2.52626,0.005743,0.005743,0.005743
45,11305.3,3.06859,1.37836,2.32863,0.88426,0.82757,0.89426,0.52113,2.81765,1.13641,2.51663,0.005644,0.005644,0.005644
46,11551.2,3.05537,1.35513,2.32362,0.88895,0.83407,0.90021,0.52431,2.81501,1.126,2.51693,0.005545,0.005545,0.005545
47,11805.9,3.03459,1.35336,2.32694,0.88925,0.83118,0.89894,0.52464,2.80782,1.11974,2.51212,0.005446,0.005446,0.005446
48,12059.7,3.0445,1.35164,2.32073,0.89077,0.83787,0.90271,0.52986,2.79331,1.11165,2.50224,0.005347,0.005347,0.005347
49,12312.4,3.04739,1.3521,2.31008,0.88867,0.83033,0.89921,0.52824,2.78665,1.10669,2.49728,0.005248,0.005248,0.005248
50,12566.3,3.01609,1.33099,2.31805,0.89352,0.83619,0.90481,0.52733,2.79616,1.10981,2.50302,0.005149,0.005149,0.005149
51,12821.3,3.026,1.33198,2.30798,0.88581,0.83697,0.90339,0.52921,2.78891,1.10685,2.49952,0.00505,0.00505,0.00505
52,13074,3.01827,1.32753,2.30936,0.89544,0.8398,0.90692,0.53143,2.78275,1.09876,2.49584,0.004951,0.004951,0.004951
53,13315.3,3.00899,1.32431,2.31012,0.89684,0.84206,0.90859,0.53243,2.78013,1.09447,2.49474,0.004852,0.004852,0.004852
54,13556.3,3.00109,1.31338,2.29902,0.89034,0.84529,0.90912,0.53467,2.77073,1.09284,2.48888,0.004753,0.004753,0.004753
55,13797.1,3.01457,1.32345,2.29601,0.89672,0.84338,0.90733,0.53308,2.77389,1.09239,2.49134,0.004654,0.004654,0.004654
56,14038.9,3.00084,1.30969,2.30717,0.89666,0.84047,0.90683,0.53408,2.77271,1.09133,2.48981,0.004555,0.004555,0.004555
57,14291.5,3.00078,1.30733,2.29966,0.90202,0.83767,0.90671,0.53392,2.76966,1.08494,2.48789,0.004456,0.004456,0.004456
58,14546.5,3.00138,1.30799,2.30213,0.90436,0.83834,0.90797,0.53468,2.76698,1.08389,2.48766,0.004357,0.004357,0.004357
59,14799.8,2.98267,1.28881,2.29658,0.89779,0.8454,0.91163,0.53722,2.76569,1.07259,2.48476,0.004258,0.004258,0.004258
60,15050.2,2.99383,1.29631,2.29318,0.89442,0.84902,0.91188,0.53858,2.76131,1.07042,2.48225,0.004159,0.004159,0.004159
61,15302.9,2.97604,1.2911,2.29194,0.90229,0.84699,0.91306,0.54037,2.75689,1.06867,2.47925,0.00406,0.00406,0.00406
62,15555.4,2.96684,1.28183,2.2857,0.90168,0.85192,0.91569,0.54173,2.75358,1.06235,2.4773,0.003961,0.003961,0.003961
63,15800.1,2.95858,1.26806,2.27982,0.89589,0.85357,0.91422,0.54064,2.7523,1.06195,2.47596,0.003862,0.003862,0.003862
64,16049.8,2.96648,1.2812,2.29132,0.8994,0.85047,0.91364,0.54081,2.74496,1.06118,2.47254,0.003763,0.003763,0.003763
65,16288.9,2.95546,1.26235,2.27707,0.89593,0.85891,0.91413,0.54135,2.74466,1.05721,2.47207,0.003664,0.003664,0.003664
66,16542.8,2.93783,1.2581,2.27273,0.89844,0.85978,0.91281,0.54166,2.74145,1.05725,2.47082,0.003565,0.003565,0.003565
67,16794.4,2.95175,1.26455,2.27563,0.8983,0.86153,0.91486,0.54256,2.73905,1.05258,2.46969,0.003466,0.003466,0.003466
68,17047.9,2.95058,1.26157,2.27747,0.89433,0.86065,0.9165,0.54453,2.73801,1.05022,2.4694,0.003367,0.003367,0.003367
69,17301.8,2.92895,1.2502,2.26765,0.90005,0.85601,0.91743,0.54468,2.7363,1.04731,2.46771,0.003268,0.003268,0.003268
70,17553.2,2.93317,1.24893,2.26607,0.90112,0.8583,0.91608,0.54299,2.73262,1.04688,2.46586,0.003169,0.003169,0.003169
71,17806.8,2.92787,1.24336,2.26828,0.90416,0.86062,0.91565,0.54377,2.73004,1.04525,2.4643,0.00307,0.00307,0.00307
72,18057.5,2.9267,1.23761,2.26979,0.90451,0.85871,0.91502,0.54474,2.72639,1.04123,2.46296,0.002971,0.002971,0.002971
73,18310.9,2.91095,1.23264,2.26403,0.90221,0.85879,0.91489,0.54513,2.72372,1.04182,2.4616,0.002872,0.002872,0.002872
74,18565.6,2.90479,1.22832,2.25504,0.90497,0.85987,0.91708,0.54611,2.72201,1.03853,2.46109,0.002773,0.002773,0.002773
75,18819.8,2.91619,1.23713,2.26812,0.90325,0.86139,0.91695,0.5465,2.72364,1.03581,2.46084,0.002674,0.002674,0.002674
76,19076,2.91857,1.23066,2.2594,0.90434,0.86085,0.91737,0.54713,2.72287,1.03487,2.45998,0.002575,0.002575,0.002575
77,19329.9,2.90285,1.22346,2.26033,0.90356,0.85932,0.91656,0.54586,2.72291,1.03422,2.45961,0.002476,0.002476,0.002476
78,19585,2.90981,1.22553,2.25771,0.90337,0.86078,0.91591,0.54559,2.72131,1.03288,2.45862,0.002377,0.002377,0.002377
79,19838.3,2.89735,1.21768,2.25321,0.90523,0.86004,0.91663,0.54613,2.71907,1.03295,2.45699,0.002278,0.002278,0.002278
80,20091.5,2.89794,1.2139,2.24866,0.90517,0.8604,0.91674,0.54698,2.71688,1.03202,2.45548,0.002179,0.002179,0.002179
81,20340.3,2.88958,1.20635,2.25217,0.90847,0.8596,0.91828,0.54755,2.71571,1.03025,2.45459,0.00208,0.00208,0.00208
82,20594.7,2.8851,1.20073,2.24451,0.90339,0.86341,0.91883,0.54814,2.71403,1.02868,2.45382,0.001981,0.001981,0.001981
83,20848.7,2.87537,1.1988,2.23998,0.90474,0.86609,0.91961,0.54889,2.71173,1.02641,2.45242,0.001882,0.001882,0.001882
84,21103,2.87524,1.1989,2.24357,0.90722,0.86369,0.91924,0.54927,2.71123,1.02582,2.45165,0.001783,0.001783,0.001783
85,21356.2,2.87475,1.19336,2.24818,0.90381,0.86658,0.91958,0.54975,2.71018,1.02403,2.45082,0.001684,0.001684,0.001684
86,21609.5,2.86494,1.1935,2.24229,0.90357,0.86728,0.92046,0.55075,2.70941,1.02327,2.44976,0.001585,0.001585,0.001585
87,21865.5,2.8548,1.18738,2.23958,0.90688,0.86709,0.92106,0.55117,2.70854,1.02225,2.44899,0.001486,0.001486,0.001486
88,22117.5,2.85725,1.18566,2.23389,0.90834,0.86729,0.92154,0.551,2.70796,1.02182,2.44859,0.001387,0.001387,0.001387
89,22369.7,2.84881,1.17944,2.24283,0.90844,0.86778,0.922,0.5511,2.70647,1.02123,2.44777,0.001288,0.001288,0.001288
90,22624.9,2.85128,1.1817,2.2316,0.90766,0.86883,0.92181,0.55136,2.70582,1.02002,2.44717,0.001189,0.001189,0.001189
91,22894.8,2.74847,1.08512,2.29566,0.90778,0.86721,0.92139,0.55119,2.70511,1.01899,2.44677,0.00109,0.00109,0.00109
92,23129,2.73037,1.06595,2.28637,0.9093,0.86766,0.92226,0.55212,2.7038,1.01744,2.44577,0.000991,0.000991,0.000991
93,23363.4,2.71318,1.06089,2.28151,0.90957,0.86809,0.92285,0.55248,2.70241,1.01642,2.44486,0.000892,0.000892,0.000892
94,23597.9,2.71636,1.05413,2.276,0.90964,0.86886,0.92287,0.553,2.70082,1.01503,2.44374,0.000793,0.000793,0.000793
95,23832.2,2.70276,1.05003,2.2829,0.90919,0.87048,0.92303,0.55375,2.69916,1.01367,2.4427,0.000694,0.000694,0.000694
96,24081,2.70594,1.05092,2.27546,0.90984,0.87033,0.92306,0.55445,2.69835,1.01181,2.44189,0.000595,0.000595,0.000595
97,24333.5,2.69561,1.04472,2.27913,0.91012,0.87017,0.92294,0.55464,2.69684,1.01122,2.44145,0.000496,0.000496,0.000496
98,24583.7,2.68973,1.04508,2.27169,0.90985,0.86961,0.92345,0.5547,2.69592,1.01007,2.44058,0.000397,0.000397,0.000397
99,24820.8,2.69184,1.03801,2.26516,0.91147,0.86865,0.92285,0.55476,2.69514,1.00917,2.44002,0.000298,0.000298,0.000298
100,25068.6,2.68246,1.03225,2.26452,0.90842,0.87114,0.92339,0.55552,2.69468,1.00771,2.43979,0.000199,0.000199,0.000199
